Data File Name
Guns_example 
	Mic 1 
	Range Number	Beginning Time	Ending Time	LeqA	LeqA8	LeqC	LeqC8	Leq	Leq8	Kurtosis	Peak 20.0 Hz	Peak 25.0 Hz	Peak 31.5 Hz	Peak 40.0 Hz	Peak 50.0 Hz	Peak 63.0 Hz	Peak 79.5 Hz	Peak 100 Hz	Peak 125 Hz	Peak 160 Hz	Peak 200 Hz	Peak 250 Hz	Peak 315 Hz	Peak 400 Hz	Peak 500 Hz	Peak 630 Hz	Peak 795 Hz	Peak 1000 Hz	Peak 1250 Hz	Peak 1600 Hz	Peak 2000 Hz	Peak 2500 Hz	Peak 3150 Hz	Peak 4000 Hz	Peak 5000 Hz	Peak 6300 Hz	Peak 7950 Hz	Peak 10000 Hz	Peak 12500 Hz	Peak 16000 Hz	Peak 20000 Hz	Level 20.0 Hz	Level 25.0 Hz	Level 31.5 Hz	Level 40.0 Hz	Level 50.0 Hz	Level 63.0 Hz	Level 79.5 Hz	Level 100 Hz	Level 125 Hz	Level 160 Hz	Level 200 Hz	Level 250 Hz	Level 315 Hz	Level 400 Hz	Level 500 Hz	Level 630 Hz	Level 795 Hz	Level 1000 Hz	Level 1250 Hz	Level 1600 Hz	Level 2000 Hz	Level 2500 Hz	Level 3150 Hz	Level 4000 Hz	Level 5000 Hz	Level 6300 Hz	Level 7950 Hz	Level 10000 Hz	Level 12500 Hz	Level 16000 Hz	Level 20000 Hz	
	1	0.382688	4.413542	19.20	-19.34	19.93	-18.61	20.23	-18.31	416.52	-10.9	-11.3	-5.0	-5.8	-3.2	-4.5	1.4	2.4	8.7	10.7	17.8	25.0	25.4	25.6	31.3	34.9	30.2	34.0	33.5	34.0	32.8	28.2	31.3	34.2	34.9	29.5	30.7	31.8	32.6	29.3	30.5	-19.1	-22.3	-16.1	-18.7	-15.5	-18.3	-12.9	-14.4	-7.1	-5.9	-1.8	4.6	5.6	5.8	9.9	10.6	7.8	8.8	7.8	6.3	6.1	3.1	3.3	3.8	3.3	1.1	0.1	-1.1	-1.1	-2.7	-3.5	
	2	7.934188	11.709917	20.09	-18.73	20.72	-18.10	21.03	-17.79	471.17	-8.2	-9.1	-7.4	-4.4	-1.8	-3.9	0.6	2.5	8.3	12.0	18.3	25.1	25.2	24.2	31.1	36.3	32.3	32.2	33.7	34.6	35.7	31.4	33.3	34.7	37.3	31.7	34.0	32.7	34.1	30.7	31.6	-19.2	-19.6	-16.9	-17.1	-15.1	-18.2	-11.3	-12.8	-6.8	-3.9	-1.0	4.7	5.8	6.4	10.8	11.7	9.0	9.3	7.6	8.3	7.3	4.6	5.0	4.0	4.7	2.1	0.8	-0.2	0.1	-1.9	-3.1	
	3	17.271500	20.537000	21.09	-18.36	21.85	-17.61	22.15	-17.31	354.58	-8.4	-11.4	-5.0	-3.9	0.5	-0.3	5.7	3.5	8.5	12.4	19.8	24.6	26.3	25.7	31.9	35.9	35.9	31.1	34.5	35.2	35.3	32.1	31.9	33.7	33.1	33.2	33.7	34.2	32.4	31.5	31.4	-18.7	-21.0	-14.6	-17.0	-12.4	-15.8	-9.5	-12.5	-5.4	-2.5	0.9	5.8	7.4	8.3	12.1	12.7	11.6	9.0	8.9	9.1	8.1	6.0	5.5	5.9	4.3	3.9	1.9	1.1	0.3	-0.8	-1.6	

	Mic 2 
	Range Number	Beginning Time	Ending Time	LeqA	LeqA8	LeqC	LeqC8	Leq	Leq8	Kurtosis	Peak 20.0 Hz	Peak 25.0 Hz	Peak 31.5 Hz	Peak 40.0 Hz	Peak 50.0 Hz	Peak 63.0 Hz	Peak 79.5 Hz	Peak 100 Hz	Peak 125 Hz	Peak 160 Hz	Peak 200 Hz	Peak 250 Hz	Peak 315 Hz	Peak 400 Hz	Peak 500 Hz	Peak 630 Hz	Peak 795 Hz	Peak 1000 Hz	Peak 1250 Hz	Peak 1600 Hz	Peak 2000 Hz	Peak 2500 Hz	Peak 3150 Hz	Peak 4000 Hz	Peak 5000 Hz	Peak 6300 Hz	Peak 7950 Hz	Peak 10000 Hz	Peak 12500 Hz	Peak 16000 Hz	Peak 20000 Hz	Level 20.0 Hz	Level 25.0 Hz	Level 31.5 Hz	Level 40.0 Hz	Level 50.0 Hz	Level 63.0 Hz	Level 79.5 Hz	Level 100 Hz	Level 125 Hz	Level 160 Hz	Level 200 Hz	Level 250 Hz	Level 315 Hz	Level 400 Hz	Level 500 Hz	Level 630 Hz	Level 795 Hz	Level 1000 Hz	Level 1250 Hz	Level 1600 Hz	Level 2000 Hz	Level 2500 Hz	Level 3150 Hz	Level 4000 Hz	Level 5000 Hz	Level 6300 Hz	Level 7950 Hz	Level 10000 Hz	Level 12500 Hz	Level 16000 Hz	Level 20000 Hz	
	1	0.382688	4.413542	-39.96	-78.50	-39.50	-78.04	-35.95	-74.49	50.89	-49.9	-47.3	-49.1	-46.7	-43.7	-46.6	-43.7	-41.8	-42.7	-47.6	-38.8	-33.6	-31.8	-31.8	-30.0	-27.5	-27.0	-25.5	-30.3	-31.8	-34.6	-34.8	-39.9	-40.6	-38.7	-37.8	-36.6	-34.5	-33.7	-31.3	-29.4	-60.7	-60.7	-59.2	-60.4	-58.8	-60.5	-57.7	-58.3	-58.4	-62.0	-58.3	-55.4	-53.7	-53.1	-53.4	-52.6	-51.7	-51.7	-54.9	-55.6	-55.8	-55.2	-54.6	-53.7	-52.7	-51.7	-50.5	-49.3	-48.3	-46.8	-45.6	
	2	7.934188	11.709917	-40.17	-78.99	-39.54	-78.36	-36.30	-75.12	84.10	-51.3	-50.0	-47.5	-45.7	-43.9	-46.0	-44.5	-41.1	-41.0	-44.9	-39.2	-33.4	-31.6	-32.9	-30.3	-26.4	-26.2	-24.5	-29.4	-30.7	-31.8	-33.9	-40.5	-41.0	-35.2	-37.2	-34.4	-34.7	-33.6	-31.7	-30.4	-62.5	-60.8	-59.0	-59.8	-58.4	-61.6	-57.5	-57.5	-58.0	-62.0	-58.7	-55.5	-53.5	-52.8	-53.6	-51.8	-51.1	-51.5	-54.4	-55.5	-56.2	-55.9	-55.2	-54.3	-53.2	-52.3	-51.0	-50.0	-48.8	-47.5	-46.1	
	3	17.271500	20.537000	-39.21	-78.67	-38.37	-77.83	-35.22	-74.67	72.30	-44.1	-51.4	-48.8	-48.2	-43.7	-43.1	-40.7	-40.6	-39.4	-44.0	-37.3	-33.1	-32.3	-32.3	-29.8	-26.2	-25.1	-25.4	-29.0	-31.2	-31.9	-32.6	-39.3	-40.3	-39.3	-38.0	-36.8	-34.6	-30.8	-31.2	-28.5	-56.2	-62.1	-58.2	-59.4	-57.1	-58.3	-55.4	-55.9	-56.5	-59.5	-56.4	-54.0	-52.7	-50.8	-51.8	-50.5	-49.8	-51.3	-53.5	-54.9	-55.0	-54.7	-54.2	-53.4	-52.3	-51.4	-50.4	-49.2	-47.9	-46.5	-45.3	

Data and Statistics of Main Data Set to determine Outliers

	Range Number		Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
LeqA (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	19.200939	-39.957495	-10.378278	41.831329	375.839582	1.000000	-10.378278	-39.957495	19.200939	
2	20.089121	-40.165697	-10.038288	42.606591	382.805028	1.000000	-10.038288	-40.165697	20.089121	
3	21.089582	-39.212111	-9.061265	42.639736	383.102829	1.000000	-9.061265	-39.212111	21.089582	

Other Data and Statistics			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Range Number (Indices)	1	2	(Indices)	(Indices)	(Indices)	(Indices)	(Indices)	(Indices)	(Indices)	Indices
Channel Number 1 	1.000000	1.000000	1.000000	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	
2	2.000000	2.000000	2.000000	0.000000	0.000000	1.000000	2.000000	2.000000	2.000000	
3	3.000000	3.000000	3.000000	0.000000	0.000000	1.000000	3.000000	3.000000	3.000000	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Beginning Time (s)	1	2	(s)	(s)	(s)	(s)	(s)	(s)	(s)	Indices
Channel Number 1 	0.382688	0.382688	0.382688	0.000000	0.000000	1.000000	0.382688	0.382688	0.382688	
2	7.934188	7.934188	7.934188	0.000000	0.000000	1.000000	7.934188	7.934188	7.934188	
3	17.271500	17.271500	17.271500	0.000000	0.000000	1.000000	17.271500	17.271500	17.271500	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Ending Time (s)	1	2	(s)	(s)	(s)	(s)	(s)	(s)	(s)	Indices
Channel Number 1 	4.413542	4.413542	4.413542	0.000000	0.000000	1.000000	4.413542	4.413542	4.413542	
2	11.709917	11.709917	11.709917	0.000000	0.000000	1.000000	11.709917	11.709917	11.709917	
3	20.537000	20.537000	20.537000	0.000000	0.000000	1.000000	20.537000	20.537000	20.537000	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
LeqA (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	19.200939	-39.957495	-10.378278	41.831329	375.839582	1.000000	-10.378278	-39.957495	19.200939	
2	20.089121	-40.165697	-10.038288	42.606591	382.805028	1.000000	-10.038288	-40.165697	20.089121	
3	21.089582	-39.212111	-9.061265	42.639736	383.102829	1.000000	-9.061265	-39.212111	21.089582	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
LeqA8 (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	-19.338993	-78.497426	-48.918209	41.831329	375.839582	2.000000	-48.918209	-78.497426	-19.338993	
2	-18.734772	-78.989590	-48.862181	42.606591	382.805028	2.000000	-48.862181	-78.989590	-18.734772	
3	-18.364818	-78.666511	-48.515665	42.639736	383.102829	2.000000	-48.515665	-78.666511	-18.364818	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
LeqC (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	19.930969	-39.496071	-9.782551	42.021263	377.546071	1.000000	-9.782551	-39.496071	19.930969	
2	20.720031	-39.540419	-9.410194	42.610573	382.840808	1.000000	-9.410194	-39.540419	20.720031	
3	21.847586	-38.371769	-8.262091	42.581514	382.579727	1.000000	-8.262091	-38.371769	21.847586	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
LeqC8 (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	-18.608962	-78.036003	-48.322482	42.021263	377.546071	1.000000	-48.322482	-78.036003	-18.608962	
2	-18.103862	-78.364312	-48.234087	42.610573	382.840808	1.000000	-48.234087	-78.364312	-18.103862	
3	-17.606814	-77.826169	-47.716492	42.581514	382.579727	1.000000	-47.716492	-77.826169	-17.606814	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Leq (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	20.232873	-35.948426	-7.857776	39.726177	356.925542	1.000000	-7.857776	-35.948426	20.232873	
2	21.030141	-36.296157	-7.633008	40.535814	364.199840	1.000000	-7.633008	-36.296157	21.030141	
3	22.148980	-35.216638	-6.533829	40.563617	364.449644	1.000000	-6.533829	-35.216638	22.148980	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Leq8 (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	-18.307059	-74.488357	-46.397708	39.726177	356.925542	1.000000	-46.397708	-74.488357	-18.307059	
2	-17.793751	-75.120049	-46.456900	40.535814	364.199840	1.000000	-46.456900	-75.120049	-17.793751	
3	-17.305420	-74.671038	-45.988229	40.563617	364.449644	1.000000	-45.988229	-74.671038	-17.305420	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Kurtosis (No Units)	1	2	(No Units)	(No Units)	(No Units)	(No Units)	(No Units)	(No Units)	(No Units)	Indices
Channel Number 1 	416.516896	50.893957	233.705426	258.534460	2322.839961	1.000000	233.705426	50.893957	416.516896	
2	471.171778	84.103548	277.637663	273.698570	2459.084087	2.000000	277.637663	84.103548	471.171778	
3	354.583298	72.295182	213.439240	199.607841	1793.405298	2.000000	213.439240	72.295182	354.583298	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 20.0 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	-10.873448	-49.896862	-30.385155	27.593720	247.919741	1.000000	-30.385155	-49.896862	-10.873448	
2	-8.207864	-51.320687	-29.764276	30.485370	273.900180	1.000000	-29.764276	-51.320687	-8.207864	
3	-8.445353	-44.142641	-26.293997	25.241794	226.788519	1.000000	-26.293997	-44.142641	-8.445353	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 25.0 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	-11.317030	-47.306357	-29.311694	25.448297	228.643876	1.000000	-29.311694	-47.306357	-11.317030	
2	-9.115003	-49.969596	-29.542300	28.888560	259.553412	1.000000	-29.542300	-49.969596	-9.115003	
3	-11.385324	-51.431391	-31.408358	28.316846	254.416766	2.000000	-31.408358	-51.431391	-11.385324	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 31.5 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	-5.018391	-49.113963	-27.066177	31.180278	280.143681	1.000000	-27.066177	-49.113963	-5.018391	
2	-7.378976	-47.545437	-27.462207	28.401977	255.181637	1.000000	-27.462207	-47.545437	-7.378976	
3	-4.972963	-48.750597	-26.861780	30.955461	278.123786	2.000000	-26.861780	-48.750597	-4.972963	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 40.0 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	-5.819478	-46.659520	-26.239499	28.878271	259.460968	1.000000	-26.239499	-46.659520	-5.819478	
2	-4.354903	-45.694550	-25.024727	29.231545	262.635009	1.000000	-25.024727	-45.694550	-4.354903	
3	-3.891938	-48.155068	-26.023503	31.298760	281.208197	1.000000	-26.023503	-48.155068	-3.891938	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 50.0 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	-3.152320	-43.704566	-23.428443	28.674768	257.632573	1.000000	-23.428443	-43.704566	-3.152320	
2	-1.828301	-43.881045	-22.854673	29.735781	267.165389	1.000000	-22.854673	-43.881045	-1.828301	
3	0.493515	-43.679422	-21.592953	31.234983	280.635190	1.000000	-21.592953	-43.679422	0.493515	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 63.0 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	-4.468795	-46.617358	-25.543077	29.803535	267.774135	2.000000	-25.543077	-46.617358	-4.468795	
2	-3.862716	-45.956302	-24.909509	29.764661	267.424865	1.000000	-24.909509	-45.956302	-3.862716	
3	-0.261077	-43.102275	-21.681676	30.293302	272.174518	1.000000	-21.681676	-43.102275	-0.261077	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
